STATION,average_entries_per_turnstile
34 ST-PENN STA,32334
34 ST-HERALD SQ,25206
GRD CNTRL-42 ST,23602
23 ST,22997
125 ST,22885
86 ST,22725
14 ST-UNION SQ,22337
42 ST-PORT AUTH,19884
FULTON ST,18888
TIMES SQ-42 ST,17959
59 ST,17527
96 ST,17243
FLUSHING-MAIN,17071
JKSN HT-ROOSVLT,16913
59 ST COLUMBUS,15660
CANAL ST,14120
14 ST,12274
ATL AV-BARCLAY,12248
CHURCH AV,12183
PATH NEW WTC,11581
47-50 STS ROCK,11231
72 ST,11041
145 ST,11000
JAMAICA CENTER,10659
CHAMBERS ST,10380
116 ST,9897
28 ST,9664
KINGS HWY,9474
JUNCTION BLVD,9232
CROWN HTS-UTICA,9083
77 ST,8960
W 4 ST-WASH SQ,8955
JAY ST-METROTEC,8803
103 ST,8794
50 ST,8771
72 ST-2 AVE,8409
103 ST-CORONA,8315
WOODHAVEN BLVD,8092
JOURNAL SQUARE,8061
FORDHAM RD,8015
7 AV,7960
DEKALB AV,7960
GRAND ST,7948
8 AV,7925
42 ST-BRYANT PK,7850
168 ST,7659
FOREST HILLS 71,7501
DELANCEY/ESSEX,7445
KEW GARDENS,7415
3 AV-149 ST,7403
BOROUGH HALL,7156
LEXINGTON AV/53,7128
SUTPHIN-ARCHER,7107
WALL ST,6991
111 ST,6977
161/YANKEE STAD,6961
57 ST-7 AV,6828
MYRTLE-WYCKOFF,6708
JAMAICA 179 ST,6692
90 ST-ELMHURST,6624
BEDFORD AV,6453
33 ST,6259
NOSTRAND AV,6211
86 ST-2 AVE,6157
167 ST,6061
KINGSBRIDGE RD,6008
FLATBUSH AV-B.C,5979
181 ST,5922
36 ST,5850
82 ST-JACKSON H,5763
79 ST,5549
68ST-HUNTER CO,5545
135 ST,5441
170 ST,5396
61 ST WOODSIDE,5302
PARKCHESTER,5276
BOWLING GREEN,5268
1 AV,5258
96 ST-2 AVE,5257
BAY PKWY,5060
CATHEDRAL PKWY,5056
LEXINGTON AV/63,5045
THIRTY THIRD ST,5036
GRAND-NEWTOWN,5026
CONEY IS-STILLW,5017
BROADWAY,4984
UTICA AV,4887
FT HAMILTON PKY,4857
SPRING ST,4809
18 AV,4728
FRANKLIN AV,4690
63 DR-REGO PARK,4673
B'WAY-LAFAYETTE,4614
DYCKMAN ST,4612
NEWARK BM BW,4605
34 ST-HUDSON YD,4497
GROVE STREET,4490
ASTORIA DITMARS,4486
HALSEY ST,4404
AVENUE U,4395
SHEEPSHEAD BAY,4339
FLUSHING AV,4239
149/GRAND CONC,4228
BRIGHTON BEACH,4202
46 ST BLISS ST,4137
BEDFORD PK BLVD,4072
STEINWAY ST,4057
PROSPECT AV,3994
66 ST-LINCOLN,3987
137 ST CITY COL,3985
30 AV,3969
MARCY AV,3949
5 AV/53 ST,3934
PELHAM PKWY,3908
QUEENSBORO PLZ,3902
2 AV,3872
VERNON-JACKSON,3850
EUCLID AV,3793
49 ST,3777
GUN HILL RD,3733
METROPOLITAN AV,3726
175 ST,3711
ROCKAWAY AV,3629
BERGEN ST,3615
5 AV/59 ST,3593
BURNSIDE AV,3570
HUNTS POINT AV,3537
EAST BROADWAY,3528
MYRTLE AV,3519
TREMONT AV,3447
51 ST,3417
110 ST,3412
53 ST,3401
COURT SQ,3395
WHITEHALL S-FRY,3373
NEWKIRK PLAZA,3346
BROADWAY JCT,3345
CITY / BUS,3334
BROOKLYN BRIDGE,3328
ELMHURST AV,3311
BLEECKER ST,3310
CHRISTOPHER ST,3277
157 ST,3263
21 ST-QNSBRIDGE,3225
HOYT-SCHER,3210
ASTOR PL,3195
INWOOD-207 ST,3191
CORTLANDT ST,3179
NORWOOD 205 ST,3169
MOSHOLU PKWY,3091
CANARSIE-ROCKAW,3050
GREENPOINT AV,3050
8 ST-NYU,3044
57 ST,3014
PAVONIA/NEWPORT,3003
QUEENS PLAZA,3000
SIMPSON ST,2986
SOUTH FERRY,2974
231 ST,2945
EXCHANGE PLACE,2921
20 AV,2907
LORIMER ST,2900
E 180 ST,2834
40 ST LOWERY ST,2797
CLINTON-WASH AV,2771
WORLD TRADE CTR,2752
NEVINS ST,2745
5 AVE,2739
OZONE PK LEFFRT,2736
PARSONS BLVD,2718
NASSAU AV,2683
ROCKAWAY BLVD,2672
45 ST,2668
81 ST-MUSEUM,2657
ST. GEORGE,2652
CARROLL ST,2640
HOUSTON ST,2603
ELDER AV,2586
169 ST,2552
